iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Wellcome Global Monitor Trust in Scientists Index (recoded into 3 categories) High Trust,"Q11E How much do you trust each of the following? How about doctors and nurses in this country? Do you trust them a lot, some, not much, or not at all? A lot","Q11B How much do you trust each of the following? How about the national government in this country? Do you trust them a lot, some, not much, or not at all? A lot"
GRD,North America,Grenada,41,0,364.383,0,0,0,112519,317.132,29.4,7.304,5.021,13593.877,243.964,10.71,3.7,72.4,0.772,0.095081726,0.292203299,0.022553382
GTM,North America,Guatemala,121132,4141,6761.271,231.14,519695,29.008,17915567,157.834,22.9,4.694,3.016,7423.808,155.898,10.18,0.6,74.3,0.65,0.080677434,0.300535273,0.109063389
GIN,Africa,Guinea,13039,76,992.858,5.787,0,0,13132792,51.755,19,3.135,1.733,1998.926,336.717,2.42,0.3,61.6,0.459,0.279101653,0.400263478,0.307531054
GNB,Africa,Guinea-Bissau,2422,43,1230.692,21.85,0,0,1967998,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,1,58.32,0.455,0.279101653,0.400263478,0.307531054
GUY,South America,Guyana,5310,149,6750.924,189.433,0,0,786559,3.952,26.3,5.305,2.837,7435.047,373.159,11.62,1.6,69.91,0.654,0.279101653,0.400263478,0.307531054
HTI,North America,Haiti,9264,232,812.451,20.346,0,0,11402533,398.448,24.3,4.8,2.954,1653.173,430.548,6.65,0.7,64,0.498,0.112707144,0.341106316,0.138438149
HND,North America,Honduras,107134,2899,10816.582,292.692,0,0,9904608,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,0.7,75.27,0.617,0.118924543,0.367636467,0.158993564
HKG,Asia,Hong Kong,0,0,0,0,3994873,532.864,7496988,7039.714,44.8,16.303,10.158,56054.92,505.8,8.33,5.4,84.86,0.933,0.118924543,0.367636467,0.158993564
HUN,Europe,Hungary,204708,4516,21190.537,467.478,1601203,165.75,9660350,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,7.02,76.88,0.838,0.124050064,0.29409572,0.155454946
ISL,Europe,Iceland,5346,26,15665.934,76.19,209334,613.433,341250,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,2.91,82.99,0.935,0.317107336,0.68865295,0.141034653
IND,Asia,India,9351109,136200,6776.144,98.695,135931545,98.501,1380004385,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.64,0.211423743,0.674883225,0.38895052
IDN,Asia,Indonesia,522581,16521,1910.552,60.401,3729561,13.635,273523621,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,1.04,71.72,0.694,0.082426905,0.246716073,0.189434592
IRN,Asia,Iran,922397,47095,10981.838,560.702,5955724,70.907,83992953,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,1.5,76.68,0.798,0.19150675,0.312558491,0.259354145
IRQ,Asia,Iraq,547215,12167,13604.698,302.492,3319514,82.529,40222503,88.125,20,3.186,1.957,15663.986,218.612,8.83,1.4,70.6,0.685,0.187324176,0.224295634,0.078876789
IRL,Europe,Ireland,71699,2043,14520.446,413.747,1919657,388.768,4937796,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,2.96,82.3,0.938,0.386351556,0.629511341,0.156625761
ISR,Asia,Israel,333802,2839,38565.123,327.998,5536330,639.628,8655541,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,2.99,82.97,0.903,0.263850465,0.476260447,0.201772068
ITA,Europe,Italy,1538217,53677,25441.126,887.783,21188898,350.451,60461828,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,3.18,83.51,0.88,0.165725671,0.267384814,0.082060402
JAM,North America,Jamaica,10600,250,3579.677,84.426,111321,37.594,2961161,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,1.7,74.47,0.732,0.045586968,0.184365199,0.137945009
JPN,Asia,Japan,142068,2074,1123.276,16.398,3137158,24.804,126476458,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,13.05,84.63,0.909,0.114433739,0.256363851,0.038373431
JOR,Asia,Jordan,207601,2570,20346.776,251.883,2435340,238.685,10203140,109.285,23.2,3.81,2.361,8337.49,208.257,11.75,1.4,74.53,0.735,0.157217095,0.318027021,0.325622122
KAZ,Asia,Kazakhstan,171979,2430,9159.167,129.416,4305570,229.304,18776707,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,6.7,73.6,0.8,0.183532093,0.305386255,0.288881018
KEN,Africa,Kenya,81656,1441,1518.58,26.799,843103,15.679,53771300,87.324,20,2.686,1.528,2993.028,218.637,2.92,1.4,66.7,0.59,0.09918012,0.35749643,0.256352672
KWT,Asia,Kuwait,141876,874,33221.849,204.657,1068193,250.129,4270563,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2,75.49,0.803,0.19850336,0.329110475,0.078996425
KGZ,Asia,Kyrgyzstan,71971,1500,11031.406,229.914,0,0,6524191,32.333,26.3,4.489,2.882,3393.474,436.362,7.11,4.5,71.45,0.672,0.107241963,0.254572198,0.185240449
LAO,Asia,Laos,39,0,5.36,0,0,0,7275556,29.715,24.4,4.029,2.322,6397.36,368.111,4,1.5,67.92,0.601,0.157186084,0.440344399,0.185240449
LVA,Europe,Latvia,15808,190,8380.863,100.732,603529,319.971,1886202,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,5.57,75.29,0.847,0.077630311,0.179768082,0.02825401
LBN,Asia,Lebanon,123982,980,18164.684,143.58,0,0,6825442,594.561,31.1,8.514,5.43,13367.565,266.591,12.71,2.9,78.93,0.757,0.195750194,0.356064201,0.040878691
LSO,Africa,Lesotho,2109,44,984.478,20.539,0,0,2142252,73.562,22.2,4.506,2.647,2851.153,405.126,3.94,1.3,54.33,0.52,0.195750194,0.356064201,0.040878691
LBR,Africa,Liberia,1595,83,315.362,16.411,0,0,5057677,49.127,19.2,3.057,1.756,752.788,272.509,2.42,0.8,64.1,0.435,0.210665511,0.358802498,0.295204815
LBY,Africa,Libya,81273,1153,11827.915,167.8,0,0,6871287,3.623,29,4.424,2.816,17881.509,341.862,10.43,3.7,72.91,0.706,0.198337555,0.296786839,0.149553173
LTU,Europe,Lithuania,58212,482,21383.46,177.057,1211062,444.869,2722291,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,6.56,75.93,0.858,0.167257011,0.382027749,0.092221594
LUX,Europe,Luxembourg,33409,300,53371.056,479.252,1338559,2138.355,625976,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,4.51,82.25,0.904,0.205071252,0.657527501,0.326534436
MKD,Europe,Macedonia,59701,1658,28655.838,795.822,322675,154.881,2083380,82.6,39.1,13.26,8.16,13111.214,322.688,10.08,4.28,75.8,0.757,0.053522089,0.263815689,0.094037885
MDG,Africa,Madagascar,17341,251,626.232,9.064,93734,3.385,27691019,43.951,19.6,2.929,1.686,1416.44,405.994,3.94,0.2,67.04,0.519,0.100655532,0.320037338,0.13868997
MWI,Africa,Malawi,6024,185,314.899,9.671,70613,3.691,19129955,197.519,18.1,2.979,1.783,1095.042,227.349,3.94,1.3,64.26,0.477,0.217121376,0.541266517,0.365908994
MYS,Asia,Malaysia,61861,350,1911.296,10.814,2577387,79.633,32365998,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.9,76.16,0.802,0.142040449,0.678811598,0.360432734
MDV,Asia,Maldives,12933,46,23925.985,85.1,233789,432.508,540542,1454.433,30.6,4.12,2.875,15183.616,164.905,9.19,4.3,78.92,0.717,0.142040449,0.678811598,0.360432734
MLI,Africa,Mali,4567,149,225.522,7.358,0,0,20250834,15.196,16.4,2.519,1.486,2014.306,268.024,2.42,0.1,59.31,0.427,0.203228776,0.484125652,0.274090724
MLT,Europe,Malta,9501,128,21517.918,289.895,398426,902.357,441539,1454.037,42.4,19.426,11.324,36513.323,168.711,8.83,4.485,82.53,0.878,0.338145258,0.726638221,0.414217106
MHL,Oceania,Marshall Islands,4,0,67.574,0,0,0,59194,295.15,23.8,4.7,4.7,3819.202,557.793,30.53,2.7,73.7,0.708,0.338145258,0.726638221,0.414217106
MRT,Africa,Mauritania,8426,172,1812.176,36.992,100792,21.677,4649660,4.289,20.3,3.138,1.792,3597.633,232.347,2.42,0.4,64.92,0.52,0.026152785,0.171685895,0.083282179
MUS,Africa,Mauritius,501,10,393.94,7.863,0,0,1271767,622.962,37.4,10.945,5.884,20292.745,224.644,22.02,3.4,74.99,0.79,0.099185041,0.16508189,0.134029002
MEX,North America,Mexico,1078594,104242,8365.555,808.499,2209596,17.138,128932753,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,1.38,75.05,0.774,0.112463912,0.362039095,0.068184312
MDA,Europe,Moldova,104140,2250,25815.804,557.764,0,0,4033963,123.655,37.6,10.864,6.955,5189.972,408.502,5.72,5.8,71.9,0.7,0.048569453,0.208925523,0.050368697
MNG,Asia,Mongolia,760,0,231.828,0,0,0,3278292,1.98,28.6,4.031,2.421,11840.846,460.043,4.82,7,69.87,0.741,0.113748361,0.299127024,0.068626485
MNE,Europe,Montenegro,33836,474,53873.662,754.703,0,0,628062,46.28,39.1,14.762,9.395,16409.288,387.305,10.08,3.861,76.88,0.814,0.029787112,0.190151713,0.123363432
MAR,Africa,Morocco,345276,5689,9354.397,154.129,3833549,103.86,36910558,80.08,29.6,6.769,4.209,7485.013,419.146,7.14,1.1,76.68,0.667,0.143842676,0.184151194,0.121550335
MOZ,Africa,Mozambique,15506,128,496.106,4.095,225762,7.223,31255435,37.728,17.7,3.158,1.87,1136.103,329.942,3.3,0.7,60.85,0.437,0.263627602,0.634621528,0.621884874
MMR,Asia,Myanmar,86633,1865,1592.232,34.277,317765,5.84,54409794,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,0.9,67.13,0.578,0.294906886,0.492842357,0.494463794
NAM,Africa,Namibia,14207,149,5591.291,58.64,150394,59.189,2540916,3.078,22,3.552,2.085,9541.808,243.811,3.94,2.7,63.71,0.647,0.064776689,0.325220998,0.201141895
NPL,Asia,Nepal,229343,1435,7871.247,49.25,1681299,57.704,29136808,204.43,25,5.809,3.212,2442.804,260.797,7.26,0.3,70.78,0.574,0.144632379,0.375123405,0.188059012
NLD,Europe,Netherlands,508243,9254,29661.323,540.068,3385579,197.584,17134873,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,3.32,82.28,0.931,0.284297249,0.736343613,0.198056107
NZL,Oceania,New Zealand,1694,25,351.29,5.184,1266944,262.73,4822233,18.206,37.9,15.322,9.72,36085.843,128.797,8.08,2.61,82.29,0.917,0.320485568,0.64623092,0.164564163
NIC,North America,Nicaragua,5784,160,873.115,24.153,0,0,6624554,51.667,27.3,5.445,3.519,5321.444,137.016,11.47,0.9,74.48,0.658,0.076894906,0.30620089,0.144338985
NER,Africa,Niger,1472,70,60.81,2.892,0,0,24206636,16.955,15.1,2.553,1.378,926,238.339,2.42,0.3,62.42,0.354,0.390084059,0.553609552,0.496171037
NGA,Africa,Nigeria,67220,1171,326.09,5.681,756237,3.669,206139587,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.5,54.69,0.532,0.186153756,0.366316447,0.144858755
NOR,Europe,Norway,34747,328,6409.417,60.503,2199978,405.807,5421242,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,3.6,82.4,0.953,0.377633499,0.775389238,0.509672613
OMN,Asia,Oman,122579,1391,24003.931,272.391,0,0,5106622,14.98,30.7,2.355,1.53,37960.709,266.342,12.61,1.6,77.86,0.821,0.377633499,0.775389238,0.509672613
PAK,Asia,Pakistan,392356,7942,1776.232,35.954,5435139,24.605,220892331,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,0.6,67.27,0.562,0.106983495,0.362420092,0.151199714
PSE,Asia,Palestine,90732,763,17785.65,149.566,0,0,5101416,778.202,20.4,3.043,1.726,4449.898,265.91,10.59,1.2,74.05,0.686,0.157622087,0.248905486,0.174222673
PAN,North America,Panama,161744,3030,37486.141,702.239,866002,200.707,4314768,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.3,78.51,0.789,0.072376444,0.262888923,0.046139922
PNG,Oceania,Papua New Guinea,645,7,72.091,0.782,0,0,8947027,18.22,22.6,3.808,2.142,3823.194,561.494,17.65,4,64.5,0.544,0.072376444,0.262888923,0.046139922
PRY,South America,Paraguay,80436,1720,11277.345,241.149,432048,60.574,7132530,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,1.3,74.25,0.702,0.082562389,0.319412455,0.122340418
PER,South America,Peru,958324,35839,29064.918,1086.958,1175014,35.637,32971846,25.129,29.1,7.151,4.455,12236.706,85.755,5.95,1.6,76.74,0.75,0.051657333,0.16475328,0.038859971
PHL,Asia,Philippines,425918,8255,3886.784,75.332,5298732,48.354,109581085,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,1,71.23,0.699,0.319021368,0.586930377,0.376806241
POL,Europe,Poland,958416,16147,25323.698,426.643,5881914,155.415,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,6.62,78.73,0.865,0.189020569,0.324872965,0.11545551
PRT,Europe,Portugal,285838,4276,28032.383,419.351,4319421,423.609,10196707,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,3.39,82.05,0.847,0.336364745,0.541223812,0.089142521
PRI,North America,Puerto Rico,89253,1076,31198.18,376.113,0,0,2860840,376.232,38.2,15.168,9.829,35044.67,108.094,12.9,3.3,80.1,0.845,0.336364745,0.541223812,0.089142521
QAT,Asia,Qatar,138250,237,47985.811,82.261,1067758,370.613,2881060,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,1.2,80.23,0.856,0.336364745,0.541223812,0.089142521
ROU,Europe,Romania,457848,10884,23799.541,565.765,4048536,210.448,19237682,85.129,43,17.85,11.69,23313.199,370.946,9.74,6.892,76.05,0.811,0.214657122,0.384062384,0.110239682
RUS,Europe,Russia,2242633,39068,15367.398,267.709,74814909,512.661,145934460,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,8.05,72.58,0.816,0.135706408,0.229705883,0.210783642
RWA,Africa,Rwanda,5872,47,453.359,3.629,617258,47.657,12952209,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,1.6,69.02,0.524,0.215463312,0.719632274,0.839613424
KNA,North America,Saint Kitts and Nevis,22,0,413.596,0,0,0,53192,212.865,35.5,10,10,24654.385,115.3,12.84,2.3,76.23,0.778,0.215463312,0.719632274,0.839613424
LCA,North America,Saint Lucia,246,2,1339.658,10.892,0,0,183629,293.187,34.9,9.721,6.405,12951.839,204.62,11.62,1.3,76.2,0.747,0.215463312,0.719632274,0.839613424
VCT,North America,Saint Vincent and the Grenadines,85,0,766.132,0,0,0,110947,281.787,31.8,7.724,4.832,10727.146,252.675,11.62,2.6,72.53,0.723,0.215463312,0.719632274,0.839613424
SMR,Europe,San Marino,1395,43,41104.367,1267.016,0,0,33938,556.667,48,20.2,20.2,56861.47,400,5.64,3.8,84.97,0.875,0.215463312,0.719632274,0.839613424
STP,Africa,Sao Tome and Principe,985,17,4494.413,77.569,0,0,219161,212.841,18.7,2.886,2.162,3052.714,270.113,2.42,2.9,70.39,0.589,0.215463312,0.719632274,0.839613424
SAU,Asia,Saudi Arabia,356691,5857,10245.659,168.238,9453444,271.542,34813867,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,2.7,75.13,0.853,0.275512236,0.385804986,0.839613424
SEN,Africa,Senegal,15981,332,954.435,19.828,231539,13.828,16743930,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.3,67.94,0.505,0.114601322,0.419724657,0.162431863
SRB,Europe,Serbia,155994,1423,22924.8,209.123,1703985,250.417,6804596,80.291,41.2,17.366,17.366,14048.881,439.415,10.08,5.609,76,0.787,0.092436415,0.301256163,0.126894859
SYC,Africa,Seychelles,173,0,1759.203,0,0,0,98340,208.354,36.2,8.606,5.586,26382.287,242.648,10.55,3.6,73.4,0.797,0.092436415,0.301256163,0.126894859
SLE,Africa,Sierra Leone,2410,74,302.119,9.277,0,0,7976985,104.7,19.1,2.538,1.285,1390.3,325.721,2.42,0.4,54.7,0.419,0.136710437,0.411600205,0.423392177
SGP,Asia,Singapore,58199,28,9947.964,4.786,4448110,760.316,5850343,7915.731,42.4,12.922,7.049,85535.383,92.243,10.99,2.4,83.62,0.932,0.221204239,0.540632466,0.341870944
SVK,Europe,Slovakia,103106,771,18885.118,141.218,1056143,193.445,5459643,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,5.82,77.54,0.855,0.17636658,0.305843332,0.069601371
SVN,Europe,Slovenia,72674,883,34957.372,424.737,505290,243.053,2078932,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,4.5,81.32,0.896,0.155883711,0.460672927,0.030112407
SLB,Oceania,Solomon Islands,17,0,24.75,0,0,0,686878,21.841,20.8,3.507,2.043,2205.923,459.78,18.68,1.4,73,0.546,0.155883711,0.460672927,0.030112407
SOM,Africa,Somalia,4445,113,279.679,7.11,0,0,15893219,23.5,16.8,2.731,1.496,315,365.769,6.05,0.9,57.4,0.285,0.155883711,0.460672927,0.030112407
